Domain,Is_Homoglyph,Base_Skeleton,Targeted_Brand_Detected,Substitutions_Identified,Techniques
7f09929ed56e7e46259aefffa5b4f7b9b4ab0c6038dcb600745278963c.pages.dev,NO,7f09929ed56e7e46259aefffa5b4f7b9b4ab0c6038dcb600745278963c.pages.dev,None,None,None
7fa32329.staking1propbase.pages.dev,NO,7fa32329.staking1propbase.pages.dev,STAKING,None,None
7hg.pages.dev,NO,7hg.pages.dev,None,None,None
7htrs.pages.dev,NO,7htrs.pages.dev,None,None,None
7sggjwkso08j1.pages.dev,NO,7sggjwkso08j1.pages.dev,None,None,None
8081.co.uk,NO,8081.co.uk,None,None,None
81739501-namoadidaphat.pages.dev,NO,81739501-namoadidaphat.pages.dev,None,None,None
82565e2a.a6f3bacd5ae2df18404bb4b0.workers.dev,NO,82565e2a.a6f3bacd5ae2df18404bb4b0.workers.dev,None,None,None
837icy-389jh98.pages.dev,NO,837icy-389jh98.pages.dev,None,None,None
8460b66ebdb9492699cb1149e5769.pages.dev,NO,8460b66ebdb9492699cb1149e5769.pages.dev,None,None,None
858b78b9.ca11he1pn0wms112.pages.dev,NO,858b78b9.ca11he1pn0wms112.pages.dev,None,None,None
85srs5e.d831920d2024835a5639fc55.workers.dev,NO,85srs5e.d831920d2024835a5639fc55.workers.dev,None,None,None
8779z-n88z.pages.dev,NO,8779z-n88z.pages.dev,None,None,None
887944ce975be0b3093c712ca4c97a2e9328f9242b7606056a690c5f1c.pages.dev,NO,887944ce975be0b3093c712ca4c97a2e9328f9242b7606056a690c5f1c.pages.dev,None,None,None
888-5wa.pages.dev,NO,888-5wa.pages.dev,None,None,None
88d2f47e5eec541d907a3951ea1586732.pages.dev,NO,88d2f47e5eec541d907a3951ea1586732.pages.dev,None,None,None
89fd.pbdja.workers.dev,NO,89fd.pbdja.workers.dev,None,None,None
8d9ebefe9973f6945bf9eae292e27fbedd4d71c8944c15ae1030b2dd5a.pages.dev,NO,8d9ebefe9973f6945bf9eae292e27fbedd4d71c8944c15ae1030b2dd5a.pages.dev,None,None,None
8e1fd3fcd03b297a.pages.dev,NO,8e1fd3fcd03b297a.pages.dev,None,None,None
8f7d37d81cae018de85b36f1fe21ff6f0d62f6b81b478efd5b4c5c6295.pages.dev,NO,8f7d37d81cae018de85b36f1fe21ff6f0d62f6b81b478efd5b4c5c6295.pages.dev,None,None,None
8ji8.weeblysite.com,NO,8ji8.weeblysite.com,None,None,None
8jtvd.pages.dev,NO,8jtvd.pages.dev,None,None,None
8r13tbbn19148-tsyhliqnqrl-9zrevo68qg1o34huz2nocg9-dos38x5j.pages.dev,NO,8r13tbbn19148-tsyhliqnqrl-9zrevo68qg1o34huz2nocg9-dos38x5j.pages.dev,None,None,None
8skab.top,NO,8skab.top,None,None,None
8u8y8y87y756t.pages.dev,NO,8u8y8y87y756t.pages.dev,None,None,None
8w3wzy4q.pages.dev,NO,8w3wzy4q.pages.dev,None,None,None
8yzwtmacryllqc7ocvaz9gic18zttxvq6mv7owm-r-wnfkx3pcgi1srk0f.pages.dev,NO,8yzwtmacryllqc7ocvaz9gic18zttxvq6mv7owm-r-wnfkx3pcgi1srk0f.pages.dev,None,None,None
904372-asicasniac-aslkwm-laskodjw-iqnc3845.pages.dev,NO,904372-asicasniac-aslkwm-laskodjw-iqnc3845.pages.dev,None,None,None
9127876789.audio-securedocument-signature.workers.dev,NO,9127876789.audio-securedocument-signature.workers.dev,None,None,None
91892dream-3a8f.bardoglet.workers.dev,NO,91892dream-3a8f.bardoglet.workers.dev,None,None,None
91a16fd3aee4ffe6643f9134783c5f15e.pages.dev,NO,91a16fd3aee4ffe6643f9134783c5f15e.pages.dev,None,None,None
91a91a18.remove-issue.pages.dev,NO,91a91a18.remove-issue.pages.dev,None,None,None
92738-aiuusn3-28766ds-cowlaic-9736.pages.dev,NO,92738-aiuusn3-28766ds-cowlaic-9736.pages.dev,None,None,None
930097.cc,NO,930097.cc,None,None,None
93869806348a3b610936717972.wsfchchance.workers.dev,NO,93869806348a3b610936717972.wsfchchance.workers.dev,None,None,None
940293-492093.pages.dev,NO,940293-492093.pages.dev,None,None,None
945355.com,NO,945355.com,None,None,None
94v4y4irksicy8c-f9e52m5cvm6ju9szbmr5v0d0fneu45sv7wzi74yum4.pages.dev,NO,94v4y4irksicy8c-f9e52m5cvm6ju9szbmr5v0d0fneu45sv7wzi74yum4.pages.dev,None,None,None
956khiomeaxe-85jmun-liomeactxs.pages.dev,NO,956khiomeaxe-85jmun-liomeactxs.pages.dev,None,None,None
96263750382771898838940488372910918.chancellor-wfsch.workers.dev,YES,96263750382771898838940488372910918.chancelbr-wfsch.workers.dev,None,lo (U+006C U+006F) -> b,Composite (ASCII)
963-60r.pages.dev,NO,963-60r.pages.dev,None,None,None
966ccd72.fb-policy-violation.pages.dev,NO,966ccd72.fb-policy-violation.pages.dev,None,None,None
96fdc00ebc43cb5105b240b7f528dbf718bed7567d62799635359bed0a.pages.dev,NO,96fdc00ebc43cb5105b240b7f528dbf718bed7567d62799635359bed0a.pages.dev,None,None,None
97-70z.pages.dev,NO,97-70z.pages.dev,None,None,None
971.ym19710.workers.dev,NO,971.ym19710.workers.dev,None,None,None
974489-coinbase.com,NO,974489-coinbase.com,COINBASE,None,None
97582940-4ufn732hgn3k0.pages.dev,NO,97582940-4ufn732hgn3k0.pages.dev,None,None,None
98105772aca3ca6d36193e96c60f0abccabc1c6cf625d0f1b6ae341ddb.pages.dev,NO,98105772aca3ca6d36193e96c60f0abccabc1c6cf625d0f1b6ae341ddb.pages.dev,None,None,None
987654ghjkl.pages.dev,NO,987654ghjkl.pages.dev,None,None,None
989678comprehensive-fthcapital2.pages.dev,NO,989678comprehensive-fthcapital2.pages.dev,None,None,None
98yr76e89furjwnh3gyt467wr89ukmijhg32y78er90opksmiouh.pages.dev,NO,98yr76e89furjwnh3gyt467wr89ukmijhg32y78er90opksmiouh.pages.dev,None,None,None
9b700925b80dc9f8213f5a05e912ea93e1a6b03640d00f61c96ed014c8.pages.dev,NO,9b700925b80dc9f8213f5a05e912ea93e1a6b03640d00f61c96ed014c8.pages.dev,None,None,None
9d1257c15446bb4689e624d992cfabc0a2f6dd38d006d831325f8df86a.pages.dev,NO,9d1257c15446bb4689e624d992cfabc0a2f6dd38d006d831325f8df86a.pages.dev,None,None,None
9fwzw4czw35t8b3puft59bu74.member00147.workers.dev,NO,9fwzw4czw35t8b3puft59bu74.member00147.workers.dev,None,None,None
a-2uk-rattermgi77-38305.pages.dev,NO,a-2uk-rattermgi77-38305.pages.dev,None,None,None
a-6ut.pages.dev,NO,a-6ut.pages.dev,None,None,None
a-bzg.pages.dev,NO,a-bzg.pages.dev,None,None,None
a-d0c.pages.dev,NO,a-d0c.pages.dev,None,None,None
a.fromnotion7101.workers.dev,NO,a.fromnotion7101.workers.dev,None,None,None
a0l647.weebly.com,NO,a0l647.weebly.com,None,None,None
a1-8st.pages.dev,NO,a1-8st.pages.dev,None,None,None
a1.sainjfdfd.com,NO,a1.sainjfdfd.com,None,None,None
a1245.pages.dev,NO,a1245.pages.dev,None,None,None
a1313.pages.dev,NO,a1313.pages.dev,None,None,None
a1a57284.b7109115dcf087f0e7eb8004.workers.dev,NO,a1a57284.b7109115dcf087f0e7eb8004.workers.dev,None,None,None
a2.cloudflarev2rayn.workers.dev,YES,a2.doudflarev2rayn.workers.dev,None,cl (U+0063 U+006C) -> d,Composite (ASCII)
a25be7de.f15dd5dfa79f015a16860f94.workers.dev,NO,a25be7de.f15dd5dfa79f015a16860f94.workers.dev,None,None,None
a2e99d6c.eab6dee9caec6702bc512ed3.workers.dev,NO,a2e99d6c.eab6dee9caec6702bc512ed3.workers.dev,None,None,None
a326c2bf35290934d7823d8cbb2064436d3b9b94dafb3f1b07a1fd4e1c.pages.dev,NO,a326c2bf35290934d7823d8cbb2064436d3b9b94dafb3f1b07a1fd4e1c.pages.dev,None,None,None
a4zf9tnz5hl10nycs.pages.dev,NO,a4zf9tnz5hl10nycs.pages.dev,None,None,None
a5-2y9.pages.dev,NO,a5-2y9.pages.dev,None,None,None
a9203-09e6.hopash320.workers.dev,NO,a9203-09e6.hopash320.workers.dev,None,None,None
a979.dzox.workers.dev,NO,a979.dzox.workers.dev,None,None,None
a9q4d9sedydh4yzo89awytqgmhh7milkamw.pages.dev,NO,a9q4d9sedydh4yzo89awytqgmhh7milkamw.pages.dev,None,None,None
aaa-59t.pages.dev,NO,aaa-59t.pages.dev,None,None,None
aaa-79f3ad.webflow.io,YES,aaa-79f3ad.webfbw.io,None,lo (U+006C U+006F) -> b,Composite (ASCII)
aallsopwo999000.fsteyuejjdjjdjd.workers.dev,NO,aallsopwo999000.fsteyuejjdjjdjd.workers.dev,None,None,None
aapplesss-support.pages.dev,NO,aapplesss-support.pages.dev,APPLE,None,None
aappleteamcommunitysupport.pages.dev,NO,aappleteamcommunitysupport.pages.dev,APPLE,None,None
aauhjgmnb2.pages.dev,NO,aauhjgmnb2.pages.dev,None,None,None
aave-ai.pages.dev,NO,aave-ai.pages.dev,AAVE,None,None
aave-liqd.pages.dev,NO,aave-liqd.pages.dev,AAVE,None,None
aaw.pages.dev,NO,aaw.pages.dev,None,None,None
aazon.net,NO,aazon.net,None,None,None
ab785acc.flca.pages.dev,NO,ab785acc.flca.pages.dev,None,None,None
abbitrative.pages.dev,NO,abbitrative.pages.dev,None,None,None
abc-r23.pages.dev,NO,abc-r23.pages.dev,None,None,None
abol-zia.pages.dev,NO,abol-zia.pages.dev,None,None,None
about-blank-81c.pages.dev,NO,about-blank-81c.pages.dev,None,None,None
about-blank-n.pages.dev,NO,about-blank-n.pages.dev,None,None,None
absirop2wkxm.pages.dev,NO,absirop2wkxm.pages.dev,None,None,None
absolutefixer.pages.dev,NO,absolutefixer.pages.dev,None,None,None
abud-7c60.ratynrkeo.workers.dev,NO,abud-7c60.ratynrkeo.workers.dev,None,None,None
aburcm-a2ce.vteunnrebieirv.workers.dev,NO,aburcm-a2ce.vteunnrebieirv.workers.dev,None,None,None
abv-bbn.pages.dev,NO,abv-bbn.pages.dev,None,None,None
acc-madelyn-lefebvre.pages.dev,NO,acc-madelyn-lefebvre.pages.dev,None,None,None
accept-sp-maldonds.pages.dev,NO,accept-sp-maldonds.pages.dev,None,None,None
accesolinea.ru,NO,accesolinea.ru,None,None,None
access-usps.sbs,NO,access-usps.sbs,USPS,None,None
access.line9smerch.com,NO,access.line9smerch.com,None,None,None
access.lines9z.com,NO,access.lines9z.com,None,None,None
accessportall.pages.dev,NO,accessportall.pages.dev,None,None,None
accionesbnrural-gt.pages.dev,NO,accionesbnrural-gt.pages.dev,None,None,None
accionesbnrural1-gt.pages.dev,NO,accionesbnrural1-gt.pages.dev,None,None,None
accnt-notice.com,NO,accnt-notice.com,None,None,None
accounnewsercurity-supportcenter-revieweveyday.pages.dev,NO,accounnewsercurity-supportcenter-revieweveyday.pages.dev,None,None,None
account-8de.pages.dev,NO,account-8de.pages.dev,None,None,None
account-att.pages.dev,NO,account-att.pages.dev,None,None,None
account-binance.com,NO,account-binance.com,BINANCE,None,None
account-binance.net,NO,account-binance.net,BINANCE,None,None
account-help-sp02931.pages.dev,NO,account-help-sp02931.pages.dev,None,None,None
account-hostpoint.com,NO,account-hostpoint.com,None,None,None
account-login.pages.dev,YES,account-bgin.pages.dev,None,lo (U+006C U+006F) -> b,Composite (ASCII)
account-ownership-verification.e27a2722.workers.dev,NO,account-ownership-verification.e27a2722.workers.dev,None,None,None
account-setting-pro-12121.pages.dev,NO,account-setting-pro-12121.pages.dev,None,None,None
account-settingmail.pages.dev,NO,account-settingmail.pages.dev,GMAIL,None,None
account-settings-managers.com,NO,account-settings-managers.com,None,None,None
account-supports.pages.dev,NO,account-supports.pages.dev,None,None,None
account-verification-settingss.pages.dev,NO,account-verification-settingss.pages.dev,None,None,None
account-verify-io9231409.pages.dev,NO,account-verify-io9231409.pages.dev,None,None,None
accountcenter-hepl989.pages.dev,NO,accountcenter-hepl989.pages.dev,None,None,None
accountfacebook-bussinesreports-confirmnow.pages.dev,NO,accountfacebook-bussinesreports-confirmnow.pages.dev,FACEBOOK,None,None
accountaccounts-auth.pages.dev,NO,accountaccounts-auth.pages.dev,None,None,None
accounts-checkings.pages.dev,NO,accounts-checkings.pages.dev,None,None,None
accountservicemailboxupdated.weebly.com,NO,accountservicemailboxupdated.weebly.com,None,None,None
accountsetting-managerpage-requestofreview.pages.dev,NO,accountsetting-managerpage-requestofreview.pages.dev,None,None,None
accountsmanagement.feranthomas135.workers.dev,NO,accountsmanagement.feranthomas135.workers.dev,None,None,None
accountsteampowered.com,NO,accountsteampowered.com,None,None,None
accountverifynow-sercuritycase-centerpro.pages.dev,NO,accountverifynow-sercuritycase-centerpro.pages.dev,None,None,None
aced.arxxwallse.workers.dev,NO,aced.arxxwallse.workers.dev,None,None,None
acefinancebankonline.com.indianstocksbrokerage.com,NO,acefinancebankonline.com.indianstocksbrokerage.com,None,None,None
acessoriacescritorioonline.com,NO,acessoriacescritorioonline.com,None,None,None
acg.nicemoe.workers.dev,NO,acg.nicemoe.workers.dev,None,None,None
achoghimkauwamebienakamchachaotuamakanwannemohubunduiswear.pages.dev,NO,achoghimkauwamebienakamchachaotuamakanwannemohubunduiswear.pages.dev,None,None,None
acredit.pages.dev,NO,acredit.pages.dev,None,None,None
acrobat-adobe-pdf.pages.dev,NO,acrobat-adobe-pdf.pages.dev,ADOBE,None,None
acrobat-adobe.pages.dev,NO,acrobat-adobe.pages.dev,ADOBE,None,None
acrobat-file.pages.dev,NO,acrobat-file.pages.dev,None,None,None
acrv.io,NO,acrv.io,None,None,None
act-aletaharrop6298.pages.dev,NO,act-aletaharrop6298.pages.dev,None,None,None
act-spaletaharrop629.pages.dev,NO,act-spaletaharrop629.pages.dev,None,None,None
